ASSOCIATED SITE,LEG ID,UNIT CONSUMPTION,READING FOR
"Aerocity, New Delhi",1848,2405.312,01/15/21
Luhari-WHTM,1693,1.854,01/15/21
Luhari-WHTM,1692,99.288,01/15/21
Luhari-WHTM,1691,1374.464,01/15/21
"Aerocity, New Delhi",1848,2480.832,01/14/21
Luhari-WHTM,1692,38.452,01/14/21
Luhari-WHTM,1691,1347.712,01/14/21
"Aerocity, New Delhi",1848,2591.36,01/13/21
Luhari-WHTM,1693,40.652,01/13/21
Luhari-WHTM,1692,232.904,01/13/21
Luhari-WHTM,1691,1238.336,01/13/21
"Aerocity, New Delhi",1848,2587.2,01/12/21
Luhari-WHTM,1692,43.392,01/12/21
Luhari-WHTM,1693,5.688,01/12/21
Luhari-WHTM,1691,1345.536,01/12/21
"Aerocity, New Delhi",1848,2363.776,01/11/21
Luhari-WHTM,1693,68.126,01/11/21
Luhari-WHTM,1691,1364.864,01/11/21
"Aerocity, New Delhi",1848,2261.824,01/10/21
Luhari-WHTM,1691,1303.616,01/10/21
"Aerocity, New Delhi",1848,2180.672,01/09/21
Luhari-WHTM,1693,60.25,01/09/21
Luhari-WHTM,1692,51.964,01/09/21
Luhari-WHTM,1691,1230.144,01/09/21
"Aerocity, New Delhi",1848,2411.072,01/08/21
Luhari-WHTM,1691,1165.44,01/08/21
Luhari-WHTM,1692,521.384,01/08/21
"Aerocity, New Delhi",1848,2224.896,01/07/21
Luhari-WHTM,1691,123.456,01/07/21
Luhari-WHTM,1692,834.588,01/07/21
Luhari-WHTM,1693,546.1,01/07/21
"Aerocity, New Delhi",1848,2314.176,01/06/21
Luhari-WHTM,1693,578.38,01/06/21
Luhari-WHTM,1692,479.488,01/06/21
Luhari-WHTM,1691,568.576,01/06/21
"Aerocity, New Delhi",1848,2260.224,01/05/21
Luhari-WHTM,1693,580.906,01/05/21
Luhari-WHTM,1692,588.22,01/05/21
Luhari-WHTM,1691,436.48,01/05/21
"Aerocity, New Delhi",1848,2281.6,01/04/21
Luhari-WHTM,1692,690.772,01/04/21
Luhari-WHTM,1693,22.96,01/04/21
Luhari-WHTM,1691,563.52,01/04/21
"Aerocity, New Delhi",1848,2482.24,01/03/21
Luhari-WHTM,1693,616.814,01/03/21
Luhari-WHTM,1692,352.64,01/03/21
Luhari-WHTM,1691,756.096,01/03/21
"Aerocity, New Delhi",1848,2565.248,01/02/21
Luhari-WHTM,1692,454.46,01/02/21
Luhari-WHTM,1693,191.666,01/02/21
Luhari-WHTM,1691,957.632,01/02/21
"Aerocity, New Delhi",1848,2642.112,01/01/21
Luhari-WHTM,1693,263.482,01/01/21
Luhari-WHTM,1691,1272.448,01/01/21
"Aerocity, New Delhi",1848,2734.272,12/31/20
Luhari-WHTM,1692,15.936,12/31/20
Luhari-WHTM,1693,134.036,12/31/20
Luhari-WHTM,1691,1498.944,12/31/20
"Aerocity, New Delhi",1848,2555.072,12/30/20
